State,count
California,416
New York,265
New Jersey,237
Florida,193
Illinois,182
Pennsylvania,163
Massachusetts,141
Ohio,121
Georgia,109
North Carolina,97
Maryland,96
Virginia,91
Washington,88
Connecticut,83
Louisiana,80
Michigan,69
Tennessee,63
Wisconsin,59
Minnesota,57
Missouri,56
Colorado,52
Oklahoma,47
Arkansas,46
South Carolina,44
Alabama,44
Arizona,42
Kentucky,42
Indiana,41
Mississippi,38
Oregon,36
Utah,29
Iowa,27
Kansas,26
New Hampshire,23
Hawaii,23
New Mexico,22
Delaware,17
Idaho,15
West Virginia,14
Nebraska,14
Maine,14
Rhode Island,13
Montana,13
Nevada,10
Alaska,10
Vermont,10
Wyoming,9
South Dakota,7
North Dakota,5
